locus_tag,length_bp,EC_number,product,start,end,category,strand
Koomba-kaat_1_00001,234,nan,hypothetical protein,150,383,,+
Koomba-kaat_1_00002,480,phrog_1116,hypothetical protein,743,1222,unknown function,-
Koomba-kaat_1_00003,177,phrog_3863,hypothetical protein,1215,1391,unknown function,-
Koomba-kaat_1_00004,801,phrog_1917,virion structural protein,1378,2178,head and packaging,-
Koomba-kaat_1_00005,162,nan,hypothetical protein,2194,2355,,-
Koomba-kaat_1_00006,921,phrog_559,HNH endonuclease,2432,3352,"DNA, RNA and nucleotide metabolism",-
Koomba-kaat_1_00007,1194,phrog_675,terminase large subunit,3574,4767,head and packaging,-
Koomba-kaat_1_00008,99,nan,hypothetical protein,4975,5073,,-
Koomba-kaat_1_00009,168,phrog_34048,terminase large subunit,5313,5480,head and packaging,-
Koomba-kaat_1_00010,369,phrog_9315,terminase large subunit,5742,6110,head and packaging,-
Koomba-kaat_1_00011,414,phrog_1063,terminase small subunit,6127,6540,head and packaging,-
Koomba-kaat_1_00012,282,phrog_1321,hypothetical protein,6537,6818,unknown function,-
Koomba-kaat_1_00013,387,phrog_3395,membrane protein,6796,7182,"moron, auxiliary metabolic gene and host takeover",-
Koomba-kaat_1_00014,333,phrog_1481,hypothetical protein,7626,7958,unknown function,+
Koomba-kaat_1_00015,333,phrog_937,hemolysin,7965,8297,other,+
Koomba-kaat_1_00016,216,phrog_1215,hypothetical protein,8308,8523,unknown function,+
Koomba-kaat_1_00017,216,phrog_1257,ribosome associated inhibitor A; zinc finger domain protein,8803,9018,"moron, auxiliary metabolic gene and host takeover",+
Koomba-kaat_1_00018,189,phrog_987,hypothetical protein,9830,10018,unknown function,+
Koomba-kaat_1_00019,501,phrog_962,holin,10099,10599,lysis,+
Koomba-kaat_1_00020,918,phrog_833,endolysin,10599,11516,lysis,+
Koomba-kaat_1_00021,759,phrog_12367,endolysin,11530,12288,lysis,+
Koomba-kaat_1_00022,222,phrog_2770,hypothetical protein,12390,12611,unknown function,+
Koomba-kaat_1_00023,216,phrog_8,transcriptional regulator,12625,12840,transcription regulation,+
Koomba-kaat_1_00024,639,phrog_2896,hypothetical protein,12833,13471,unknown function,+
Koomba-kaat_1_00025,189,phrog_2706,hypothetical protein,13485,13673,unknown function,+
Koomba-kaat_1_00026,426,phrog_25616,Rnase H,13666,14091,"DNA, RNA and nucleotide metabolism",+
Koomba-kaat_1_00027,264,phrog_3093,hypothetical protein,14103,14366,unknown function,+
Koomba-kaat_1_00028,603,phrog_2995,hypothetical protein,14379,14981,unknown function,+
Koomba-kaat_1_00029,399,phrog_23790,hypothetical protein,15021,15419,unknown function,+
Koomba-kaat_1_00030,2301,phrog_8238,RNA ligase,15574,17874,"DNA, RNA and nucleotide metabolism",+
Koomba-kaat_1_00031,594,phrog_1817,nucleoside 2-deoxyribosyltransferase,17876,18469,"DNA, RNA and nucleotide metabolism",+
Koomba-kaat_1_00032,624,phrog_2642,hypothetical protein,18462,19085,unknown function,+
Koomba-kaat_1_00033,174,phrog_1274,lysM motif protein,19060,19233,lysis,+
